All installed programs list generated by choco-package-list-backup on 2021-10-13.


DisplayName                                                                   DisplayVersion               Publisher                         
Imaging Tools Support (OnecoreUAP)                                            10.1.21382.1                 Microsoft                         
WinRT Intellisense Mobile - en-us                                             10.1.19041.685               Microsoft Corporation             
Windows Software Development Kit - Windows 10.0.19041.685                     10.1.19041.685               Microsoft Corporation             
Python Launcher                                                               3.10.7581.0                  Python Software Foundation        
Windows SDK for Windows Store Apps Tools                                      10.1.20348.1                 Microsoft Corporation             
Microsoft .NET CoreRuntime For CoreCon                                        1.0.0.0                      Microsoft Corporation             
Windows IoT Extension SDK Contracts                                           10.1.19041.685               Microsoft Corporation             
Windows Mobile Extension SDK                                                  10.1.20348.1                 Microsoft Corporation             
Windows SDK                                                                   10.1.20348.1                 Microsoft Corporation             
Windows SDK for Windows Store Apps Tools                                      10.1.19041.685               Microsoft Corporation             
Windows SDK Desktop Headers arm                                               10.1.19041.685               Microsoft Corporation             
Microsoft Portable Library Multi-Targeting Pack Language Pack - enu           17.0.31703.232               Microsoft Corporation             
Universal CRT Extension SDK                                                   10.1.19041.685               Microsoft Corporation             
Microsoft .NET SDK 5.0.400 (x64)                                              5.4.21.37610                 Microsoft Corporation             
vs_clickoncebootstrappermsires                                                17.0.31703                   Microsoft Corporation             
Windows SDK ARM Desktop Tools                                                 10.1.20348.1                 Microsoft Corporation             
vs_devenvsharedmsi                                                            17.0.31703                   Microsoft Corporation             
icecap_collection_neutral                                                     17.0.31709                   Microsoft Corporation             
WinRT Intellisense PPI - Other Languages                                      10.1.20348.1                 Microsoft Corporation             
gsudo v1.0.2.0                                                                1.0.2.0                      gerardog                          
Windows SDK Modern Non-Versioned Developer Tools                              10.1.20348.1                 Microsoft Corporation             
Toolkit Documentation                                                         10.1.21382.1                 Microsoft                         
WinRT Intellisense PPI - en-us                                                10.1.20348.1                 Microsoft Corporation             
ClickOnce Bootstrapper Package for Microsoft .NET Framework                   4.8.04162                    Microsoft Corporation             
User State Migration Tool (OnecoreUAP)                                        10.1.21382.1                 Microsoft                         
Imaging And Configuration Designer (OnecoreUAP)                               10.1.21382.1                 Microsoft                         
vs_communitysharedmsi                                                         17.0.31709                   Microsoft Corporation             
Windows Team Extension SDK Contracts                                          10.1.19041.685               Microsoft Corporation             
Windows SDK Desktop Libs arm                                                  10.1.20348.1                 Microsoft Corporation             
Windows Software Development Kit - Windows 10.0.20348.1                       10.1.20348.1                 Microsoft Corporation             
Microsoft Portable Library Multi-Targeting Pack                               17.0.31703.232               Microsoft Corporation             
Windows App Certification Kit x64                                             10.1.19041.685               Microsoft Corporation             
vs_minshellinteropsharedmsi                                                   17.0.31709                   Microsoft Corporation             
Universal CRT Headers Libraries and Sources                                   10.1.19041.685               Microsoft Corporation             
vs_minshellmsires                                                             17.0.31709                   Microsoft Corporation             
Microsoft .NET Runtime - 5.0.11 (x64)                                         5.0.11.30523                 Microsoft Corporation             
Microsoft Visual C++ 2005 Redistributable                                     8.0.61001                    Microsoft Corporation             
Windows Mobile Extension SDK                                                  10.1.19041.685               Microsoft Corporation             
Composer - Php Dependency Manager                                                                          getcomposer.org                   
Microsoft NetStandard SDK                                                     15.0.51105                   Microsoft Corporation             
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30528                   14.30.30528                  Microsoft Corporation             
Softspecialists Small Utilities 7.7                                                                        Softspecialists                   
Microsoft .NET Host FX Resolver - 5.0.11 (x86)                                40.44.30523                  Microsoft Corporation             
Windows Mobile Extension SDK Contracts                                        10.1.19041.685               Microsoft Corporation             
MSI Development Tools                                                         10.1.19041.685               Microsoft Corporation             
Microsoft Help Viewer 2.3                                                     2.3.31709                    Microsoft Corporation             
Windows SDK Desktop Libs x86                                                  10.1.19041.685               Microsoft Corporation             
vs_Graphics_Singletonx86                                                      17.0.31710                   Microsoft Corporation             
Microsoft .NET Runtime - 6.0.0 Rc 1 (x86)                                     48.3.29277                   Microsoft Corporation             
windows_toolscorepkg                                                          17.0.31709                   Microsoft Corporation             
